      0: system.cpu0: Fetch: Inst PC:0x7ffff7dd7c30, Fetch PC:0x7ffff7dd7c30
      0: system.cpu0: Fetch: Inst PC:0x7ffff7dd7c30, Fetch PC:0x7ffff7dd7c30
      0: system.cpu1: Fetch: Inst PC:0x7ffff7dd7c30, Fetch PC:0x7ffff7dd7c30
    500: system.cpu0: Fetch: Inst PC:0x7ffff7dd7c33, Fetch PC:0x7ffff7dd7c30
    500: system.cpu1: Fetch: Inst PC:0x7ffff7dd7c33, Fetch PC:0x7ffff7dd7c30
   3000: system.cpu0: Fetch: Inst PC:0x7ffff7dd89b0, Fetch PC:0x7ffff7dd89b0
   3000: system.cpu1: Fetch: Inst PC:0x7ffff7dd89b0, Fetch PC:0x7ffff7dd89b0
   4000: system.cpu0: Fetch: Inst PC:0x7ffff7dd89b1, Fetch PC:0x7ffff7dd89b0
   4000: system.cpu0: Fetch: Inst PC:0x7ffff7dd89b1, Fetch PC:0x7ffff7dd89b0
   4000: system.cpu1: Fetch: Inst PC:0x7ffff7dd89b1, Fetch PC:0x7ffff7dd89b0
   4500: system.cpu0: Fetch: Inst PC:0x7ffff7dd89b4, Fetch PC:0x7ffff7dd89b0
   4500: system.cpu1: Fetch: Inst PC:0x7ffff7dd89b4, Fetch PC:0x7ffff7dd89b0
   4500: system.cpu1: Fetch: Inst PC:0x7ffff7dd89b4, Fetch PC:0x7ffff7dd89b0
   5500: system.cpu0: Fetch: Inst PC:0x7ffff7dd89b6, Fetch PC:0x7ffff7dd89b0
   6500: system.cpu0: Fetch: Inst PC:0x7ffff7dd89b8, Fetch PC:0x7ffff7dd89b8
   6500: system.cpu0: Fetch: Inst PC:0x7ffff7dd89b8, Fetch PC:0x7ffff7dd89b8
   5500: system.cpu1: Fetch: Inst PC:0x7ffff7dd89b6, Fetch PC:0x7ffff7dd89b0
   7500: system.cpu0: Fetch: Inst PC:0x7ffff7dd89ba, Fetch PC:0x7ffff7dd89b8
   6500: system.cpu1: Fetch: Inst PC:0x7ffff7dd89b8, Fetch PC:0x7ffff7dd89b8
   6500: system.cpu1: Fetch: Inst PC:0x7ffff7dd89b8, Fetch PC:0x7ffff7dd89b8
   8500: system.cpu0: Fetch: Inst PC:0x7ffff7dd89bc, Fetch PC:0x7ffff7dd89b8
   9000: system.cpu0: Fetch: Inst PC:0x7ffff7dd89bf, Fetch PC:0x7ffff7dd89b8
   9000: system.cpu0: Fetch: Inst PC:0x7ffff7dd89bf, Fetch PC:0x7ffff7dd89b8
   7500: system.cpu1: Fetch: Inst PC:0x7ffff7dd89ba, Fetch PC:0x7ffff7dd89b8
  10000: system.cpu0: Fetch: Inst PC:0x7ffff7dd89c0, Fetch PC:0x7ffff7dd89c0
   8500: system.cpu1: Fetch: Inst PC:0x7ffff7dd89bc, Fetch PC:0x7ffff7dd89b8
   9000: system.cpu1: Fetch: Inst PC:0x7ffff7dd89bf, Fetch PC:0x7ffff7dd89b8
  11000: system.cpu0: Fetch: Inst PC:0x7ffff7dd89c4, Fetch PC:0x7ffff7dd89c0
  10000: system.cpu1: Fetch: Inst PC:0x7ffff7dd89c0, Fetch PC:0x7ffff7dd89c0
  11000: system.cpu1: Fetch: Inst PC:0x7ffff7dd89c4, Fetch PC:0x7ffff7dd89c0
  11000: system.cpu1: Fetch: Inst PC:0x7ffff7dd89c4, Fetch PC:0x7ffff7dd89c0
system.cpu0: Fetch: Inst PC:0x7ffff7dd89c6, Fetch PC:0x7ffff7dd89c0
  13000: system.cpu0: Fetch: Inst PC:0x7ffff7dd89c6, Fetch PC:0x7ffff7dd89c8
  13000: system.cpu0: Fetch: Inst PC:0x7ffff7dd89c6, Fetch PC:0x7ffff7dd89c8
  12500: system.cpu1: Fetch: Inst PC:0x7ffff7dd89c6, Fetch PC:0x7ffff7dd89c0
  13500: system.cpu0: Fetch: Inst PC:0x7ffff7dd89ca, Fetch PC:0x7ffff7dd89c8
  13500: system.cpu0: Fetch: Inst PC:0x7ffff7dd89ca, Fetch PC:0x7ffff7dd89c8
